# room=$73 mode=$05 lvl=$00 objs=5
tick,bucket,calls,total_cyc,max_cyc,tick_cyc
49,UpdatePlayer,1,320,320,127841
49,UpdateObject,5,5920,1184,127841
49,CheckMonsterCollisions,1,328,328,127841
49,MoveObject,6,1440,240,127841
49,Walker_Move,3,2928,976,127841
49,Walker_CheckTileCollision,3,1272,424,127841
49,UpdateMoblin,2,1040,520,127841
49,UpdateArrowOrBoomerang,4,4000,1000,127841
49,AnimateAndDrawObjectWalking,1,1080,1080,127841
49,AddQSpeedToPositionFraction,17,4896,288,127841
49,GetCollidableTile,1,1080,1080,127841
49,_oam_dma_flush,1,232,232,127841
49,_ags_flush,1,96,96,127841
49,_ags_prearm,1,40,40,127841
49,DriveAudio,1,8,8,127841
49,_tick,1,127841,127841,127841
50,VBlankISR,1,96,96,127841
50,IsrNmi,1,1056,1056,127841
50,UpdateMode,1,264,264,127841
50,TransferCurTileBuf,1,120,120,127841
50,music_tick,1,232,232,127841
50,UpdatePlayer,1,320,320,127841
50,UpdateObject,3,3552,1184,127841
50,CheckMonsterCollisions,3,984,328,127841
50,MoveObject,3,720,240,127841
50,Walker_Move,3,2928,976,127841
50,Walker_CheckTileCollision,3,1272,424,127841
50,UpdateMoblin,2,1040,520,127841
50,UpdateArrowOrBoomerang,1,1000,1000,127841
50,AnimateAndDrawObjectWalking,3,3240,1080,127841
50,AddQSpeedToPositionFraction,11,3168,288,127841
50,GetCollidableTile,3,3240,1080,127841
50,_oam_dma_flush,1,232,232,127841
50,_ags_flush,1,96,96,127841
50,_ags_prearm,1,40,40,127841
50,DriveAudio,1,8,8,127841
50,_tick,1,127841,127841,127841
51,VBlankISR,1,96,96,255682
51,IsrNmi,1,1056,1056,255682
51,UpdateMode,1,264,264,255682
51,TransferCurTileBuf,1,120,120,255682
51,music_tick,1,232,232,255682
51,UpdatePlayer,1,320,320,255682
51,UpdateObject,13,15392,1184,255682
51,CheckMonsterCollisions,8,2624,328,255682
51,MoveObject,15,3600,240,255682
51,Walker_Move,9,8784,976,255682
51,Walker_CheckTileCollision,9,3816,424,255682
51,UpdateMoblin,8,4160,520,255682
51,UpdateArrowOrBoomerang,7,7000,1000,255682
51,AnimateAndDrawObjectWalking,8,8640,1080,255682
51,AddQSpeedToPositionFraction,56,16128,288,255682
51,GetCollidableTile,5,5400,1080,255682
51,_oam_dma_flush,1,232,232,255682
51,_ags_flush,1,96,96,255682
51,_ags_prearm,1,40,40,255682
51,DriveAudio,1,8,8,255682
51,_tick,2,255682,255682,255682
52,VBlankISR,1,96,96,127841
52,IsrNmi,1,1056,1056,127841
52,UpdateMode,1,264,264,127841
52,TransferCurTileBuf,1,120,120,127841
52,music_tick,1,232,232,127841
52,UpdatePlayer,1,320,320,127841
52,UpdateObject,6,7104,1184,127841
52,CheckMonsterCollisions,2,656,328,127841
52,MoveObject,6,1440,240,127841
52,Walker_Move,4,3904,976,127841
52,Walker_CheckTileCollision,3,1272,424,127841
52,UpdateMoblin,3,1560,520,127841
52,UpdateArrowOrBoomerang,4,4000,1000,127841
52,AnimateAndDrawObjectWalking,2,2160,1080,127841
52,AddQSpeedToPositionFraction,20,5760,288,127841
52,GetCollidableTile,1,1080,1080,127841
52,_oam_dma_flush,1,232,232,127841
52,_ags_flush,1,96,96,127841
52,_ags_prearm,1,40,40,127841
52,DriveAudio,1,8,8,127841
52,_tick,1,127841,127841,127841
53,VBlankISR,1,96,96,127841
53,IsrNmi,1,1056,1056,127841
53,UpdateMode,1,264,264,127841
53,TransferCurTileBuf,1,120,120,127841
53,music_tick,1,232,232,127841
53,UpdatePlayer,1,320,320,127841
53,UpdateObject,1,1184,1184,127841
53,CheckMonsterCollisions,2,656,328,127841
53,MoveObject,2,480,240,127841
53,Walker_Move,1,976,976,127841
53,Walker_CheckTileCollision,2,848,424,127841
53,UpdateMoblin,1,520,520,127841
53,AnimateAndDrawObjectWalking,2,2160,1080,127841
53,AddQSpeedToPositionFraction,8,2304,288,127841
53,GetCollidableTile,2,2160,1080,127841
53,_oam_dma_flush,1,232,232,127841
53,_ags_flush,1,96,96,127841
53,_ags_prearm,1,40,40,127841
53,DriveAudio,1,8,8,127841
53,_tick,1,127841,127841,127841
54,VBlankISR,1,96,96,255682
54,IsrNmi,1,1056,1056,255682
54,UpdateMode,1,264,264,255682
54,TransferCurTileBuf,1,120,120,255682
54,music_tick,1,232,232,255682
54,UpdatePlayer,1,320,320,255682
54,UpdateObject,16,18944,1184,255682
54,CheckMonsterCollisions,8,2624,328,255682
54,MoveObject,17,4080,240,255682
54,Walker_Move,10,9760,976,255682
54,Walker_CheckTileCollision,10,4240,424,255682
54,UpdateMoblin,8,4160,520,255682
54,UpdateArrowOrBoomerang,9,9000,1000,255682
54,AnimateAndDrawObjectWalking,8,8640,1080,255682
54,AddQSpeedToPositionFraction,60,17280,288,255682
54,GetCollidableTile,5,5400,1080,255682
54,_oam_dma_flush,1,232,232,255682
54,_ags_flush,1,96,96,255682
54,_ags_prearm,1,40,40,255682
54,DriveAudio,1,8,8,255682
54,_tick,2,255682,255682,255682
55,VBlankISR,1,96,96,127841
55,IsrNmi,1,1056,1056,127841
55,UpdateMode,1,264,264,127841
55,TransferCurTileBuf,1,120,120,127841
55,music_tick,1,232,232,127841
55,UpdatePlayer,1,320,320,127841
55,UpdateObject,2,2368,1184,127841
55,MoveObject,2,480,240,127841
55,Walker_Move,1,976,976,127841
55,Walker_CheckTileCollision,1,424,424,127841
55,UpdateArrowOrBoomerang,3,3000,1000,127841
55,AddQSpeedToPositionFraction,4,1152,288,127841
55,GetCollidableTile,1,1080,1080,127841
55,_oam_dma_flush,1,232,232,127841
55,_ags_flush,1,96,96,127841
55,_ags_prearm,1,40,40,127841
55,DriveAudio,1,8,8,127841
55,_tick,1,127841,127841,127841
56,VBlankISR,2,192,96,255682
56,IsrNmi,1,1056,1056,255682
56,UpdateMode,1,264,264,255682
56,TransferCurTileBuf,1,120,120,255682
56,music_tick,2,464,232,255682
56,UpdatePlayer,1,320,320,255682
56,UpdateObject,14,16576,1184,255682
56,CheckMonsterCollisions,8,2624,328,255682
56,MoveObject,16,3840,240,255682
56,Walker_Move,9,8784,976,255682
56,Walker_CheckTileCollision,9,3816,424,255682
56,UpdateMoblin,8,4160,520,255682
56,UpdateArrowOrBoomerang,7,7000,1000,255682
56,AnimateAndDrawObjectWalking,8,8640,1080,255682
56,AddQSpeedToPositionFraction,60,17280,288,255682
56,GetCollidableTile,3,3240,1080,255682
56,_oam_dma_flush,2,464,232,255682
56,_ags_flush,2,192,96,255682
56,_ags_prearm,1,40,40,255682
56,DriveAudio,1,8,8,255682
56,_tick,2,255682,255682,255682
57,IsrNmi,1,1056,1056,127841
57,UpdateMode,1,264,264,127841
57,TransferCurTileBuf,1,120,120,127841
57,UpdatePlayer,1,320,320,127841
57,UpdateObject,6,7104,1184,127841
57,CheckMonsterCollisions,1,328,328,127841
57,MoveObject,6,1440,240,127841
57,Walker_Move,2,1952,976,127841
57,Walker_CheckTileCollision,2,848,424,127841
57,UpdateMoblin,2,1040,520,127841
57,UpdateArrowOrBoomerang,5,5000,1000,127841
