=================================================================
Record Parse Probe — frame 300
=================================================================

Total records parsed: 50
bmi terminator checks: 321 (taken: 0)

--- All parsed records ---
  done#192 D0=$00 A0=$00000000
  done#193 D0=$00 A0=$00000000
  done#194 D0=$00 A0=$00000000
  done#195 D0=$00 A0=$00000000
  done#196 D0=$00 A0=$00000000
  done#197 D0=$00 A0=$00000000
  done#198 D0=$00 A0=$00000000
  done#199 D0=$00 A0=$00000000
  done#200 D0=$00 A0=$00000000
  done#201 D0=$00 A0=$00000000
  done#202 D0=$00 A0=$00000000
  done#203 D0=$00 A0=$00000000
  done#204 D0=$00 A0=$00000000
  done#205 D0=$00 A0=$00000000
  done#206 D0=$00 A0=$00000000
  done#207 D0=$00 A0=$00000000
  done#208 D0=$00 A0=$00000000
  done#209 D0=$00 A0=$00000000
  done#210 D0=$00 A0=$00000000
  done#211 D0=$00 A0=$00000000
  done#212 D0=$00 A0=$00000000
  done#213 D0=$00 A0=$00000000
  done#214 D0=$00 A0=$00000000
  done#215 D0=$00 A0=$00000000
  done#216 D0=$00 A0=$00000000
  done#217 D0=$00 A0=$00000000
  done#218 D0=$00 A0=$00000000
  done#219 D0=$00 A0=$00000000
  done#220 D0=$00 A0=$00000000
  done#221 D0=$00 A0=$00000000
  done#222 D0=$00 A0=$00000000
  done#223 D0=$00 A0=$00000000
  done#224 D0=$00 A0=$00000000
  done#225 D0=$00 A0=$00000000
  done#226 D0=$00 A0=$00000000
  done#227 D0=$00 A0=$00000000
  done#228 D0=$00 A0=$00000000
  done#229 D0=$00 A0=$00000000
  done#230 D0=$00 A0=$00000000
  done#231 D0=$00 A0=$00000000
  done#232 D0=$00 A0=$00000000
  done#233 D0=$00 A0=$00000000
  done#234 D0=$00 A0=$00000000
  done#235 D0=$00 A0=$00000000
  done#236 D0=$00 A0=$00000000
  done#237 D0=$00 A0=$00000000
  done#238 D0=$00 A0=$00000000
  done#239 D0=$00 A0=$00000000
  done#240 D0=$00 A0=$00000000
  done#241 D0=$00 A0=$00000000
  done#242 D0=$00 A0=$00000000
  done#243 D0=$00 A0=$00000000
  done#244 D0=$00 A0=$00000000
  done#245 D0=$00 A0=$00000000
  done#246 D0=$00 A0=$00000000
  done#247 D0=$00 A0=$00000000
  done#248 D0=$00 A0=$00000000
  done#249 D0=$00 A0=$00000000
  done#250 D0=$00 A0=$00000000
  done#251 D0=$00 A0=$00000000
  done#252 D0=$00 A0=$00000000
  done#253 D0=$00 A0=$00000000
  done#254 D0=$00 A0=$00000000
  done#255 D0=$00 A0=$00000000
  done#256 D0=$00 A0=$00000000
  done#257 D0=$00 A0=$00000000
  done#258 D0=$00 A0=$00000000
  done#259 D0=$00 A0=$00000000
  done#260 D0=$00 A0=$00000000
  done#261 D0=$00 A0=$00000000
  done#262 D0=$00 A0=$00000000
  done#263 D0=$00 A0=$00000000
  done#264 D0=$00 A0=$00000000
  done#265 D0=$00 A0=$00000000
  done#266 D0=$00 A0=$00000000
  done#267 D0=$00 A0=$00000000
  done#268 D0=$00 A0=$00000000
  done#269 D0=$00 A0=$00000000
  done#270 D0=$00 A0=$00000000
  done#271 D0=$00 A0=$00000000
  done#272 D0=$00 A0=$00000000

--- GameTitleTransferBuf last 40 bytes (check attr records) ---
  CurTileBufIdx = $3F
