# room=$73 mode=$05 lvl=$00 objs=5
tick,bucket,calls,total_cyc,max_cyc,tick_cyc
19,GetCollidableTile,2,2160,1080,127841
19,_oam_dma_flush,1,232,232,127841
19,_ags_flush,1,96,96,127841
19,_ags_prearm,1,40,40,127841
19,DriveAudio,1,8,8,127841
19,_tick,1,127841,127841,127841
20,VBlankISR,1,96,96,127841
20,IsrNmi,1,1056,1056,127841
20,UpdateMode,1,264,264,127841
20,TransferCurTileBuf,1,120,120,127841
20,music_tick,1,232,232,127841
20,UpdatePlayer,1,320,320,127841
20,UpdateObject,5,5920,1184,127841
20,CheckMonsterCollisions,2,656,328,127841
20,MoveObject,4,736,184,127841
20,Walker_Move,3,2760,920,127841
20,Walker_CheckTileCollision,3,1272,424,127841
20,UpdateMoblin,2,1040,520,127841
20,UpdateArrowOrBoomerang,2,2000,1000,127841
20,AnimateAndDrawObjectWalking,2,2160,1080,127841
20,GetCollidableTile,2,2160,1080,127841
20,_oam_dma_flush,1,232,232,127841
20,_ags_flush,1,96,96,127841
20,_ags_prearm,1,40,40,127841
20,DriveAudio,1,8,8,127841
20,_tick,1,127841,127841,127841
21,VBlankISR,1,96,96,127841
21,IsrNmi,1,1056,1056,127841
21,UpdateMode,1,264,264,127841
21,TransferCurTileBuf,1,120,120,127841
21,music_tick,1,232,232,127841
21,UpdatePlayer,1,320,320,127841
21,UpdateObject,5,5920,1184,127841
21,CheckMonsterCollisions,2,656,328,127841
21,MoveObject,4,736,184,127841
21,Walker_Move,3,2760,920,127841
21,Walker_CheckTileCollision,3,1272,424,127841
21,UpdateMoblin,2,1040,520,127841
21,UpdateArrowOrBoomerang,2,2000,1000,127841
21,AnimateAndDrawObjectWalking,2,2160,1080,127841
21,GetCollidableTile,2,2160,1080,127841
21,_oam_dma_flush,1,232,232,127841
21,_ags_flush,1,96,96,127841
21,_ags_prearm,1,40,40,127841
21,DriveAudio,1,8,8,127841
21,_tick,1,127841,127841,127841
