=================================================================
CHR Loop Count Probe — 200 frames
=================================================================
Total NMI entries: 0

  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=59
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=59
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=59
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=59
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=59
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=59
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=59
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=59
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=59
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=60
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=60
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=60
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=60
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=60
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=60
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=60
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=60
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=60
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=60
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=60
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=60
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=60
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=60
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=61
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=61
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=61
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=61
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=61
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=61
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=61
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=61
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=61
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=61
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=61
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=61
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=61
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=61
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=62
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=62
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=62
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=62
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=62
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=62
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=62
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=62
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=62
