frame,brightness
4920,152.8,
4925,152.0,
4930,152.0,
4935,152.8,
4940,152.9,
4945,152.8,
4950,154.2,
4955,155.1,
4960,155.1,
4965,155.1,
4970,154.1,
4975,152.9,
4980,152.0,
4985,152.0,
4990,152.0,
4995,152.8,
5000,152.9,
5005,152.9,
5010,154.2,
5015,155.1,
5020,155.0,
5025,154.2,
5030,154.2,
5035,152.8,
5040,152.0,
5045,151.9,
5050,152.9,
5055,152.9,
5060,152.8,
5065,154.2,
5070,154.1,
5075,155.1,
5080,155.1,
5085,154.2,
5090,152.9,
5095,151.9,
5100,152.0,
5105,152.0,
5110,152.8,
5115,152.9,
5120,152.8,
5125,154.2,
5130,155.1,
5135,155.1,
5140,155.1,
5145,154.1,
5150,152.9,
5155,152.0,
5160,152.0,
5165,152.9,
5170,152.8,
5175,152.9,
5180,152.9,
5185,154.2,
5190,155.1,
5195,155.0,
5200,154.2,
5205,152.9,
5210,152.8,
5215,152.0,
5220,151.9,
5225,152.9,
5230,152.9,
5235,152.8,
5240,154.2,
5245,155.0,
5250,155.1,
5255,155.1,
5260,154.2,
5265,152.9,
5270,151.9,
5275,152.0,
5280,152.0,
5285,152.8,
5290,152.9,
5295,152.8,
5300,154.2,
5305,155.1,
5310,155.1,
5315,154.2,
5320,154.1,
5325,152.9,
5330,152.0,
5335,152.0,
5340,152.9,
5345,154.1,
5350,154.2,
5355,154.6,
5360,154.7,
5365,153.7,
5370,154.6,
5375,153.2,
5380,91.2,DARKER
5385,19.0,DARKER
5390,19.0,
5395,18.9,
5400,19.0,
5405,18.9,
5410,19.0,
5415,19.0,
5420,18.9,
5425,19.0,
5430,18.9,
5435,19.0,
5440,19.0,
5445,18.9,
5450,19.0,
5455,18.9,
5460,19.0,
5465,19.0,
5470,18.9,
5475,19.0,
5480,18.9,
5485,19.0,
5490,19.0,
5495,18.9,
5500,19.0,
5505,18.9,
5510,19.0,
5515,19.0,
5520,18.9,
5525,19.0,
5530,18.9,
5535,19.0,
5540,19.0,
5545,18.9,
5550,19.0,
5555,18.9,
5560,19.0,
5565,19.0,
5570,18.9,
5575,19.0,
5580,17.2,
5585,2.2,
5590,0.0,
5595,0.0,
5600,0.0,
5605,0.0,
5610,0.0,
5615,0.0,
5620,0.0,
5625,0.0,
5630,0.0,
5635,0.0,
5640,0.0,
5645,0.0,
5650,0.0,
5655,0.0,
5660,0.0,
5665,0.0,
5670,0.0,
5675,0.0,
5680,0.0,
5685,0.0,
5690,0.0,
5695,0.0,
5700,0.0,
5705,0.0,
5710,0.0,
5715,0.0,
5720,0.0,
5725,0.0,
5730,0.0,
5735,0.0,
5740,0.0,
5745,0.0,
5750,0.0,
5755,0.0,
5760,0.0,
5765,0.0,
5770,0.0,
5775,0.0,
5780,0.0,
5785,0.0,
5790,0.0,
5795,0.0,
5800,0.0,
5805,0.0,
5810,0.0,
5815,0.0,
5820,0.0,
5825,0.0,
5830,0.0,
5835,0.2,
5840,0.7,
5845,1.0,
5850,1.2,
5855,1.2,
5860,1.2,
5865,1.3,
5870,1.3,
5875,1.3,
5880,1.7,
5885,2.3,
5890,3.4,
5895,4.0,
5900,4.1,
5905,4.0,
5910,4.1,
5915,4.5,
5920,5.3,
5925,6.0,
5930,6.2,
5935,6.2,
5940,6.2,
5945,6.4,
5950,7.3,
5955,8.0,
5960,8.5,
5965,8.5,
5970,8.5,
5975,8.5,
5980,9.2,
5985,9.8,
5990,10.6,
5995,10.7,
6000,10.6,
6005,10.6,
6010,11.1,
6015,11.7,
6020,12.7,
6025,12.9,
6030,12.8,
6035,12.9,
6040,13.1,
6045,13.7,
6050,15.0,
6055,15.6,
6060,15.7,
6065,15.6,
6070,15.6,
6075,16.1,
6080,17.0,
6085,17.6,
6090,17.9,
6095,17.9,
6100,17.7,
6105,18.0,
6110,18.8,
6115,19.4,
6120,19.9,
6125,19.9,
6130,19.8,
6135,19.9,
6140,20.5,
6145,21.1,
6150,21.9,
6155,21.9,
6160,21.9,
6165,21.9,
6170,22.1,
6175,22.3,
6180,22.6,
6185,22.7,
6190,22.7,
6195,22.8,
6200,22.9,
6205,23.1,
6210,23.4,
6215,23.7,
6220,23.7,
6225,23.7,
6230,23.7,
6235,23.9,
6240,24.7,
6245,25.3,
6250,25.5,
6255,25.5,
6260,25.5,
6265,25.5,
6270,25.5,
6275,25.5,
6280,25.5,
6285,25.5,
6290,25.5,
6295,25.5,
6300,25.5,
6305,25.5,
6310,25.5,
6315,25.5,
6320,25.5,
6325,25.5,
6330,25.5,
6335,25.5,
6340,25.5,
6345,25.5,
6350,25.5,
6355,25.5,
6360,25.5,
6365,25.5,
6370,25.5,
6375,25.5,
6380,25.5,
6385,25.5,
6390,25.5,
6395,25.5,
6400,25.5,
6405,25.5,
6410,25.5,
6415,25.5,
6420,25.5,
6425,25.5,
6430,25.5,
6435,25.5,
6440,25.5,
6445,25.5,
6450,25.5,
6455,25.5,
6460,25.5,
6465,25.5,
6470,25.5,
6475,25.5,
6480,25.5,
6485,25.5,
6490,25.5,
6495,25.5,
6500,25.5,
