# label=gen system=GEN start=850 end=3000
# frame,gameMode,phase,subphase,curVScroll,curHScroll,ppuCtrl,switchReq,vsram0,ppuScrlX,ppuScrlY,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDstLo,lineDstHi,attrDstLo,attrDstHi,phase0Cycle,phase0Timer,transferBufSel,demoBusy,vsAddrHi58,vsAddrLoE2,sprite0Act,vsram40,hintQCount,hintQ0Ctr,hintQ0Vsram,hintPendSplit,introScrollMode,stagedMode,stagedHintCtr,stagedBase,stagedEvent,activeHintCtr,stagedSegment,activeSegment,activeBase,activeEvent,enterStep,updateCount,handoffMark,substage,nmiProbe,ppuCtrlGate
893,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,84,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,33,B0
894,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,83,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,34,B0
895,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,82,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,35,B0
896,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,81,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,36,B0
897,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,80,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,37,B0
898,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,7F,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,38,B0
899,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,7E,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,39,B0
900,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,7D,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,3A,B0
901,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,7C,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,3B,B0
902,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,7B,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,3C,B0
903,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,7A,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,3D,B0
904,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,79,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,3E,B0
905,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,78,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,3F,B0
906,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,77,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,40,B0
907,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,76,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,41,B0
908,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,75,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,42,B0
909,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,74,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,43,B0
910,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,73,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,44,B0
911,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,72,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,45,B0
912,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,71,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,46,B0
913,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,70,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,47,B0
914,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,6F,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,48,B0
915,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,6E,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,49,B0
916,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,6D,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,4A,B0
917,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,6C,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,4B,B0
918,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,6B,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,4C,B0
919,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,6A,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,4D,B0
920,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,69,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,4E,B0
921,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,68,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,4F,B0
922,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,67,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,50,B0
923,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,66,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,51,B0
