# label=nes system=NES ramDomain=nil start=2100 end=3200 step=1
# frame,gameMode,phase,subphase,frameCtr,curVScroll,curHScroll,ppuCtrl,switchReq,tileBufSel,lineCounter,vramHi,vramLo,textIndex,objYTick,vsram0,ppuScrlX,ppuScrlY,hintQCount,hintPendSplit,introScrollMode,stagedMode,stagedHintCtr,stagedBase,stagedEvent,activeHintCtr,stagedSegment,activeSegment,activeBase,activeEvent,spriteVisible,attrIndex,itemRow
02183,00,01,02,6F,0A,00,B2,00,00,F2,21,00,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1E,03
02184,00,01,02,70,0A,00,B2,00,00,F2,21,00,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1E,03
02185,00,01,02,71,0B,00,B2,00,00,F3,21,00,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1E,03
02186,00,01,02,72,0B,00,B2,00,00,F3,21,00,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1E,03
02187,00,01,02,73,0C,00,B2,00,00,F4,21,00,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1E,03
02188,00,01,02,74,0C,00,B2,00,00,F4,21,00,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1E,03
02189,00,01,02,75,0D,00,B2,00,00,F5,21,00,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1E,03
02190,00,01,02,76,0D,00,B2,00,00,F5,21,00,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1E,03
02191,00,01,02,77,0E,00,B2,00,00,F6,21,00,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1E,03
02192,00,01,02,78,0E,00,B2,00,00,F6,21,00,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1E,03
02193,00,01,02,79,0F,00,B2,00,00,F7,21,00,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1E,03
02194,00,01,02,7A,0F,00,B2,00,00,F7,21,00,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1E,03
02195,00,01,02,7B,10,00,B2,00,00,F8,21,20,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1F,03
02196,00,01,02,7C,10,00,B2,00,00,F8,21,20,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1F,03
02197,00,01,02,7D,11,00,B2,00,00,F9,21,20,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1F,03
02198,00,01,02,7E,11,00,B2,00,00,F9,21,20,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1F,03
