# label=nes system=NES start=850 end=3000
# frame,gameMode,phase,subphase,curVScroll,curHScroll,ppuCtrl,switchReq,vsram0,ppuScrlX,ppuScrlY,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDstLo,lineDstHi,attrDstLo,attrDstHi,phase0Cycle,phase0Timer,transferBufSel,demoBusy,vsAddrHi58,vsAddrLoE2,sprite0Act,vsram40
930,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,2D,00,01,00,00,00,FFFF
931,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,2C,00,01,00,00,00,FFFF
932,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,2B,00,01,00,00,00,FFFF
933,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,2A,00,01,00,00,00,FFFF
934,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,29,00,01,00,00,00,FFFF
935,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,28,00,01,00,00,00,FFFF
936,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,27,00,01,00,00,00,FFFF
937,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,26,00,01,00,00,00,FFFF
938,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,25,00,01,00,00,00,FFFF
939,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,24,00,01,00,00,00,FFFF
940,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,23,00,01,00,00,00,FFFF
941,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,22,00,01,00,00,00,FFFF
942,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,21,00,01,00,00,00,FFFF
943,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,20,00,01,00,00,00,FFFF
944,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,1F,00,01,00,00,00,FFFF
945,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,1E,00,01,00,00,00,FFFF
946,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,1D,00,01,00,00,00,FFFF
947,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,1C,00,01,00,00,00,FFFF
948,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,1B,00,01,00,00,00,FFFF
949,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,1A,00,01,00,00,00,FFFF
950,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,19,00,01,00,00,00,FFFF
951,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,18,00,01,00,00,00,FFFF
952,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,17,00,01,00,00,00,FFFF
