frame,gameMode,phase,subphase,curVScroll,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDst,attrDst,switchReq,subphase2Hits,lineRecordHit,demoLineSelected,planeLineDst,attrRecordHit,attrLineDst,lineAdvanced,attrAdvanced,ntWrapped
936,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
937,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
938,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
939,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
940,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
941,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
942,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
943,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
944,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
945,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
946,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
947,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
948,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
949,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
950,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
951,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
952,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
953,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
954,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
955,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
956,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
957,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
958,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
959,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
960,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
961,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
962,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
963,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
964,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
965,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
966,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
967,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
968,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
969,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
970,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
971,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
972,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
973,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
974,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
